Clean_Reviews,Uncleaned_Reviews,Subjectivity,Polarity,sentiment
purchased gb version phone come extendable gb ram virtual memory capability good phone least expensive category offering one plus small evident point get noticed first thing confusing placement power button hence finger sensor daily handling mobile phone feel bit annoying finger locking un locking phone try handle place pocket although big problem still something think second point lag noticeable bit hoping might go away update improvement third point speaker volume speaker good near maximum level e volume seem creep steadily rather louds top volume limit fourth point final one camera shoot color realistic photo taken day light especially skin tone tend coloured led flash average could better good awesome part phone practicality daily user one plus strong brand part pricing offered battery life good charging capability also impressive someone like moved android phone build phone apt survive normal fall mishap happening phone feel solid hand stock android clean nothing complain overall clean phone small improvement would make rounder cut rest keeping one plus branding mind,"I've purchased the 6GB version of this phone which comes with an extendable 2 GB RAM (virtual memory) capability.Good phone, but being the least expensive category offering from One-plus, there are some small evident points that will get noticed. First thing is the confusing placement of the power button (and hence the finger sensor). Daily handling of the mobile phone feels a bit annoying with fingers locking/un-locking the phone while you try to handle it and place it into Your pockets. Although this is not a big problem, it is still something to think about. The second point is about lag here and there (only to a noticeable bit), which i am hoping might go away with updates/improvements. The third point is about the speaker volume. The speaker is good only at its near maximum levels i.e the volume does not seem to creep up steadily, rather louds out only at its top volume limits. The fourth point and final one is about the camera shoots where the colors are not very realistic. Photos taken in day light especially on skin tone tend to be over coloured.  LED flash is average and could have been better.The good and awesome part about this phone is about its practicality for daily users with one-plus strong brand part for the pricing offered. Battery life is very good and its re-charging capability is also very impressive for someone like me who has just moved from a Android 10 phone. Build of the phone is apt and will survive normal falls or mishaps from happening. The Phone does feel solid in hand. Stock android is clean and nothing to complain about.Overall a clean phone with small improvements that would make it an all-rounder and cut above the rest keeping one-plus branding in mind.",0.486111111111111,0.18055555555555555,pos
try keep review short review perspective average user believe buy phone start use change adjust without complaining much always better device price use tool nothing much pro camera pretty good con software sweet little feature one plus make sweet negative speed power run apps people use generally without issue build quality good well given going use sort case con con see battery need charge twice day browse internet use camera time watch youtube instagram facebook medium apps like hour two mid brightness maximum achievable screen time around hour given high speed charger battery really issue tweaking around setting delete preinstalled apps stop unnecessary apps background easily achieve hr plus screen time peace,"I will try to keep this review short. This review is just from the perspective of an average user I believe after you buy a phone and start to use it, you change yourself to adjust with it without complaining much.There is always a better device out there in the same price but just use it, it's just a tool nothing much.Pros:1. Camera is pretty good no cons about this.2. Software is sweet and other little features from one plus make it more sweet3. There aren't any negatives about speed or power it can run 99% of the apps people use generally without any issue.4. Build quality is good as well given that you going to use some sort of case on it.Cons1.The only con I see it is the battery you need to charge it twice in most of the days. If you browse internet use camera for some time watch YouTube, Instagram, Facebook or other media apps for like an hour or two on mid brightness or more then maximum achievable screen on time is around 7-8.5 hours. But given that high speed charger, battery isn't really an issue.Do some tweaking's around the settings and delete the preinstalled apps stop unnecessary apps from the background you can easily achieve 9hr plus screen on time.Peace",0.4985185185185186,0.1697685185185185,pos
much satisfied bought calling purpose g working battery drain high mode loving,Very much satisfied. Was bought for calling purpose. 5G is working on it but battery drain is very high on this mode.Other than this..loving it,0.8300000000000001,0.42,pos
feel good phone within budget range camera performance specially one thing improved display,"I feel it's very good phone within this budget range. Camera, performance and specially OS. Only one thing can be improved is display.",0.5857142857142857,0.5285714285714286,pos
con camera lover go thispros battery gooddisplay nicedurability good,"Cons:If you are camera lover, don't go with thisPros:Battery is goodDisplay is niceDurability is good",0.6000000000000001,0.7,pos
loved colour sky blue looked exceptional opened started using cannot comment much performance mom always used samsung fairly comfortable change brand using since couple week without concern could better feature price probably fit sim card sim sd card surprising camera quality look great even though brand claim higher mp camera sim slot mentioned g great battery quality far look reasonable,"I loved the colour (sky blue), which looked exceptional when I opened it. Just started using it so cannot comment much on the performance. My mom always used Samsung before, and is fairly comfortable with the change of brand. She is using this since couple of weeks without concerns, but could have had better features at this price. This probably can only fit 2 SIM cards or 1 SIM and 1 SD card, that was surprising. Camera quality does not look great even though the brand claims to have higher MP camera's. Both SIM slots are mentioned 5G, which is great and battery quality so far looks reasonable.",0.6076923076923078,0.4397435897435897,pos
good looking camera clarity fabulous battery life nice fast charging amazing fast fingure scanner working software good hanging issue must,Good looking and camera clarity is fabulous battery life is very nice fast charging amazing 🤩 fast fingure scanner working software is good no hanging issue.Must by 👍,0.7571428571428572,0.48571428571428577,pos
posting review day used pro battery good using mobile hour continuous charging go day performance good fast look good feature also ok con heard camera quality one plus good personal experience good one plus front back camera click real picture quality image blurry pixel also clear disappoint camera quality chose buy bcuz camera battery experience good phone also coming good quality want go brand go brand get good mobile,"I am posting a review after 7 days of used,Pros :Battery is good, if you are using your mobile 10-12 hours continuous, charging will go for 1 day ..Performance is good, fast, looks good, features also ok.Cons :I heard about the camera quality of one plus is good, but my personal experience that it is not good, one plus front and back camera click real pictures but not in quality, images are blurry and pixels are also not clear. Am very disappoint with camera quality.I chose this to buy bcuz of camera and battery, but my experience is not good with this.Other phone are also coming with good quality...If you want to go for brand, go for it,But in the other brand you can get more good mobiles .",0.49166666666666664,0.4714285714285715,pos
mobile signal working mobile battery backup good time hanged time hanged yesterday visited oneplus store good service,mobile signals not working mobile battery backup not good some times hanged some times hanged yesterday visited OnePlus store not good service,0.6000000000000001,0.7,pos
good product good foe heavy gaming,It is good product but not good foe heavy gaming,0.5666666666666668,0.39999999999999997,pos
camera sound screen processing battery,Out of 3Camera ++Sound ++Screen++Processing+++Battery++,0.4,0.4,pos
user friendly mobilecharging fast fully,User friendly mobileCharging is very fast fully,0.55,0.2875,pos
fantastic camera quality look also super,"Fantastic camera 📸 quality, look is also super",0.7833333333333333,0.3666666666666667,pos
phone value money meanwhile experience one plus charm camera quality average g connection speed slightly le connection speed g phone,"This phone is value for money. Meanwhile, you can't experience the one plus charm. Camera quality is average. 5G connection speed is slightly less than the connection speed of other 5G phones.",0.2833333333333333,-0.15833333333333333,pos
good product,Good product 👍,0.6000000000000001,0.7,pos
purchased month camera quality battery backup good others performance good,I purchased it 2 months before. Camera quality & battery backup are very good. Others performance is good.,0.6000000000000001,0.7,pos
problem,no problem,0.0,0.0,neg
great smartphone k camera battery processor good overall nice smartphone,"It's a great smartphone under 20k. Camera, battery and processor is very good. Overall it is a nice smartphone.",0.5875,0.525,pos
good,good.,0.6000000000000001,0.7,pos
overall good mobile,Overall good mobile,0.30000000000000004,0.35,pos
worst experience product working properly auto restart showing screen,"Worst Experience, Product is not working properly, Auto Restart Showing on screen.",0.55,-0.5,neg
product super,product is super,0.6666666666666666,0.3333333333333333,pos
